"","category","rt","categoryCorrect","timeStart","memory","memoryCorrect","stim.old","x","y","z","w","trial.num","stim","workerId","condition","round"
"114","A",3281,TRUE,1415216319901,"old",TRUE,TRUE,1,0,1,0,2,"1010","A1I7NW0062RB0X","ms","07"
"115","B",2764,TRUE,1415216323936,"old",TRUE,TRUE,0,0,0,1,3,"0001","A1I7NW0062RB0X","ms","07"
"116","B",2160,TRUE,1415216327452,"old",TRUE,TRUE,0,0,0,0,4,"0000","A1I7NW0062RB0X","ms","07"
"117","A",3832,TRUE,1415216330364,"old",TRUE,TRUE,1,0,1,1,5,"1011","A1I7NW0062RB0X","ms","07"
"118","B",3513,NA,1415216334947,"old",FALSE,FALSE,0,0,1,1,6,"0011","A1I7NW0062RB0X","ms","07"
"119","A",2623,FALSE,1415216339213,"old",TRUE,TRUE,1,1,0,0,7,"1100","A1I7NW0062RB0X","ms","07"
"120","B",1856,FALSE,1415216342588,"old",TRUE,TRUE,1,1,1,0,8,"1110","A1I7NW0062RB0X","ms","07"
"121","A",2207,TRUE,1415216345196,"old",TRUE,TRUE,0,1,1,1,9,"0111","A1I7NW0062RB0X","ms","07"
"122","B",4760,NA,1415216348156,"old",FALSE,FALSE,1,1,1,1,10,"1111","A1I7NW0062RB0X","ms","07"
"123","A",4537,NA,1415216353668,"new",TRUE,FALSE,0,1,0,0,11,"0100","A1I7NW0062RB0X","ms","07"
"124","B",2158,TRUE,1415216358957,"old",TRUE,TRUE,0,1,1,0,12,"0110","A1I7NW0062RB0X","ms","07"
"125","A",3327,NA,1415216361868,"old",FALSE,FALSE,1,0,0,1,13,"1001","A1I7NW0062RB0X","ms","07"
"126","B",2352,FALSE,1415216365947,"old",TRUE,TRUE,1,1,0,1,14,"1101","A1I7NW0062RB0X","ms","07"
"127","A",2385,NA,1415216369050,"new",TRUE,FALSE,0,1,0,1,15,"0101","A1I7NW0062RB0X","ms","07"
"128","B",1751,NA,1415216372186,"old",FALSE,FALSE,1,0,0,0,16,"1000","A1I7NW0062RB0X","ms","07"
"129","B",5868,NA,1415205699596,"old",FALSE,FALSE,0,0,0,0,1,"0000","A7GBZ0M82OYXU","opt-total","07"
"130","A",3437,NA,1415205706230,"old",FALSE,FALSE,1,1,0,1,2,"1101","A7GBZ0M82OYXU","opt-total","07"
"131","A",5575,TRUE,1415205710418,"old",TRUE,TRUE,1,1,1,0,3,"1110","A7GBZ0M82OYXU","opt-total","07"
"132","B",7099,TRUE,1415205716749,"old",TRUE,TRUE,0,1,1,0,4,"0110","A7GBZ0M82OYXU","opt-total","07"
"133","A",2912,NA,1415205724611,"old",FALSE,FALSE,0,1,1,1,5,"0111","A7GBZ0M82OYXU","opt-total","07"
"134","A",3356,TRUE,1415205728288,"old",TRUE,TRUE,1,1,0,0,6,"1100","A7GBZ0M82OYXU","opt-total","07"
"135","B",6036,FALSE,1415205732411,"old",TRUE,TRUE,0,0,1,1,7,"0011","A7GBZ0M82OYXU","opt-total","07"
"136","B",2993,NA,1415205739206,"old",FALSE,FALSE,1,0,1,1,8,"1011","A7GBZ0M82OYXU","opt-total","07"
"137","B",7119,TRUE,1415205742962,"new",FALSE,TRUE,1,0,0,0,9,"1000","A7GBZ0M82OYXU","opt-total","07"
"138","B",2306,FALSE,1415205750843,"old",TRUE,TRUE,0,0,0,1,10,"0001","A7GBZ0M82OYXU","opt-total","07"
"139","B",3526,TRUE,1415205753922,"old",TRUE,TRUE,1,0,1,0,11,"1010","A7GBZ0M82OYXU","opt-total","07"
"140","A",3442,NA,1415205758206,"new",TRUE,FALSE,1,0,0,1,12,"1001","A7GBZ0M82OYXU","opt-total","07"
"141","B",5743,NA,1415205762404,"new",TRUE,FALSE,0,0,1,0,13,"0010","A7GBZ0M82OYXU","opt-total","07"
"142","A",2083,NA,1415205768912,"old",FALSE,FALSE,0,1,0,1,14,"0101","A7GBZ0M82OYXU","opt-total","07"
"143","A",1821,TRUE,1415205771758,"old",TRUE,TRUE,1,1,1,1,15,"1111","A7GBZ0M82OYXU","opt-total","07"
"144","A",2294,FALSE,1415205774337,"old",TRUE,TRUE,0,1,0,0,16,"0100","A7GBZ0M82OYXU","opt-total","07"
"145","A",4866,TRUE,1415301982008,"old",TRUE,TRUE,0,1,1,1,1,"0111","AON1T94RODVW2","ms","07"
"146","B",2246,FALSE,1415301987625,"old",TRUE,TRUE,1,1,0,1,2,"1101","AON1T94RODVW2","ms","07"
"147","B",1966,NA,1415301990623,"old",FALSE,FALSE,0,0,1,0,3,"0010","AON1T94RODVW2","ms","07"
"148","B",1675,FALSE,1415301993340,"old",TRUE,TRUE,1,1,1,0,4,"1110","AON1T94RODVW2","ms","07"
"149","A",1766,NA,1415301995767,"old",FALSE,FALSE,0,0,1,1,5,"0011","AON1T94RODVW2","ms","07"
"150","A",1734,TRUE,1415301998285,"old",TRUE,TRUE,1,0,1,0,6,"1010","AON1T94RODVW2","ms","07"
"151","B",2230,TRUE,1415302000771,"old",TRUE,TRUE,0,0,0,1,7,"0001","AON1T94RODVW2","ms","07"
"152","B",1543,NA,1415302003752,"old",FALSE,FALSE,1,0,0,0,8,"1000","AON1T94RODVW2","ms","07"
"153","A",1078,NA,1415302006047,"old",FALSE,FALSE,1,1,1,1,9,"1111","AON1T94RODVW2","ms","07"
"154","A",1589,NA,1415302007876,"old",FALSE,FALSE,1,0,0,1,10,"1001","AON1T94RODVW2","ms","07"
"155","A",1413,TRUE,1415302010216,"old",TRUE,TRUE,1,0,1,1,11,"1011","AON1T94RODVW2","ms","07"
"156","B",1604,TRUE,1415302012381,"old",TRUE,TRUE,0,0,0,0,12,"0000","AON1T94RODVW2","ms","07"
"157","B",2067,NA,1415302014736,"old",FALSE,FALSE,0,1,0,1,13,"0101","AON1T94RODVW2","ms","07"
"158","B",1087,TRUE,1415302017554,"old",TRUE,TRUE,1,1,0,0,14,"1100","AON1T94RODVW2","ms","07"
"159","B",1080,NA,1415302019393,"old",FALSE,FALSE,0,1,0,0,15,"0100","AON1T94RODVW2","ms","07"
"160","A",1125,FALSE,1415302021224,"old",TRUE,TRUE,0,1,1,0,16,"0110","AON1T94RODVW2","ms","07"
"161","B",5583,NA,1415292841485,"old",FALSE,FALSE,0,1,1,1,1,"0111","A3HGWDE5M201ZV","opt-total","07"
"162","A",4840,FALSE,1415292847820,"old",TRUE,TRUE,0,1,1,0,2,"0110","A3HGWDE5M201ZV","opt-total","07"
"163","A",2577,TRUE,1415292853411,"old",TRUE,TRUE,1,1,0,0,3,"1100","A3HGWDE5M201ZV","opt-total","07"
"164","B",7616,NA,1415292856740,"old",FALSE,FALSE,0,0,1,0,4,"0010","A3HGWDE5M201ZV","opt-total","07"
"165","B",3049,TRUE,1415292865107,"old",TRUE,TRUE,1,0,0,0,5,"1000","A3HGWDE5M201ZV","opt-total","07"
"166","A",6353,TRUE,1415292868908,"old",TRUE,TRUE,1,1,1,0,6,"1110","A3HGWDE5M201ZV","opt-total","07"
"167","A",7753,NA,1415292876011,"old",FALSE,FALSE,0,1,0,1,7,"0101","A3HGWDE5M201ZV","opt-total","07"
"168","B",3040,FALSE,1415292884516,"old",TRUE,TRUE,0,0,0,1,8,"0001","A3HGWDE5M201ZV","opt-total","07"
"169","A",8785,TRUE,1415292888307,"new",FALSE,TRUE,0,0,1,1,9,"0011","A3HGWDE5M201ZV","opt-total","07"
"170","B",4577,NA,1415292897843,"new",TRUE,FALSE,1,1,0,1,10,"1101","A3HGWDE5M201ZV","opt-total","07"
"171","B",5681,TRUE,1415292903171,"old",TRUE,TRUE,0,1,0,0,11,"0100","A3HGWDE5M201ZV","opt-total","07"
"172","B",5224,NA,1415292909604,"new",TRUE,FALSE,1,0,0,1,12,"1001","A3HGWDE5M201ZV","opt-total","07"
"173","B",5080,TRUE,1415292915580,"old",TRUE,TRUE,1,0,1,0,13,"1010","A3HGWDE5M201ZV","opt-total","07"
"174","A",3201,NA,1415292921411,"old",FALSE,FALSE,0,0,0,0,14,"0000","A3HGWDE5M201ZV","opt-total","07"
"175","A",4467,NA,1415292925362,"new",TRUE,FALSE,1,0,1,1,15,"1011","A3HGWDE5M201ZV","opt-total","07"
"176","A",2728,TRUE,1415292930580,"old",TRUE,TRUE,1,1,1,1,16,"1111","A3HGWDE5M201ZV","opt-total","07"
"177","A",10221,TRUE,1415216687714,"old",TRUE,TRUE,1,1,0,0,1,"1100","A1YX741QQSMKPS","opt-total","07"
"178","B",5469,NA,1415216698687,"old",FALSE,FALSE,1,1,0,1,2,"1101","A1YX741QQSMKPS","opt-total","07"
"179","B",4168,NA,1415216704908,"old",FALSE,FALSE,0,1,0,1,3,"0101","A1YX741QQSMKPS","opt-total","07"
"180","A",4635,TRUE,1415216709827,"old",TRUE,TRUE,1,1,1,1,4,"1111","A1YX741QQSMKPS","opt-total","07"
"181","B",3396,NA,1415216715214,"old",FALSE,FALSE,0,0,0,0,5,"0000","A1YX741QQSMKPS","opt-total","07"
"182","A",3267,TRUE,1415216719362,"old",TRUE,TRUE,1,1,1,0,6,"1110","A1YX741QQSMKPS","opt-total","07"
"183","B",3384,NA,1415216723380,"old",FALSE,FALSE,0,1,1,1,7,"0111","A1YX741QQSMKPS","opt-total","07"
"184","B",3348,NA,1415216727516,"old",FALSE,FALSE,1,0,0,1,8,"1001","A1YX741QQSMKPS","opt-total","07"
"185","B",3255,TRUE,1415216731616,"old",TRUE,TRUE,1,0,1,0,9,"1010","A1YX741QQSMKPS","opt-total","07"
"186","B",4544,NA,1415216735624,"old",FALSE,FALSE,1,0,1,1,10,"1011","A1YX741QQSMKPS","opt-total","07"
"187","A",4161,TRUE,1415216740921,"old",TRUE,TRUE,0,0,1,1,11,"0011","A1YX741QQSMKPS","opt-total","07"
"188","A",2748,NA,1415216745835,"old",FALSE,FALSE,0,0,1,0,12,"0010","A1YX741QQSMKPS","opt-total","07"
"189","A",4509,FALSE,1415216749336,"old",TRUE,TRUE,0,1,1,0,13,"0110","A1YX741QQSMKPS","opt-total","07"
"190","B",5739,FALSE,1415216754597,"old",TRUE,TRUE,0,0,0,1,14,"0001","A1YX741QQSMKPS","opt-total","07"
"191","B",3494,TRUE,1415216761088,"old",TRUE,TRUE,0,1,0,0,15,"0100","A1YX741QQSMKPS","opt-total","07"
"192","B",4017,TRUE,1415216765334,"old",TRUE,TRUE,1,0,0,0,16,"1000","A1YX741QQSMKPS","opt-total","07"
"193","B",6540,NA,1414809948050,"old",FALSE,FALSE,0,0,1,0,1,"0010","A2TL18J7K3G2A3","opt-total","07"
"194","B",18382,TRUE,1414809955345,"old",TRUE,TRUE,0,1,0,0,2,"0100","A2TL18J7K3G2A3","opt-total","07"
"195","A",2270,TRUE,1414809974481,"old",TRUE,TRUE,1,1,1,0,3,"1110","A2TL18J7K3G2A3","opt-total","07"
"196","B",2449,TRUE,1414809977505,"old",TRUE,TRUE,0,1,1,0,4,"0110","A2TL18J7K3G2A3","opt-total","07"
"197","A",1976,TRUE,1414809980708,"old",TRUE,TRUE,1,1,1,1,5,"1111","A2TL18J7K3G2A3","opt-total","07"
"198","A",2472,TRUE,1414809983438,"old",TRUE,TRUE,1,1,0,0,6,"1100","A2TL18J7K3G2A3","opt-total","07"
"199","A",1977,NA,1414809986668,"old",FALSE,FALSE,1,0,1,1,7,"1011","A2TL18J7K3G2A3","opt-total","07"
"200","A",2052,NA,1414809989399,"old",FALSE,FALSE,0,1,1,1,8,"0111","A2TL18J7K3G2A3","opt-total","07"
"201","B",1937,TRUE,1414809992204,"old",TRUE,TRUE,1,0,1,0,9,"1010","A2TL18J7K3G2A3","opt-total","07"
"202","A",2326,NA,1414809994894,"old",FALSE,FALSE,0,1,0,1,10,"0101","A2TL18J7K3G2A3","opt-total","07"
"203","A",2036,NA,1414809997973,"old",FALSE,FALSE,1,1,0,1,11,"1101","A2TL18J7K3G2A3","opt-total","07"
"204","A",2051,TRUE,1414810000762,"old",TRUE,TRUE,0,0,1,1,12,"0011","A2TL18J7K3G2A3","opt-total","07"
"205","B",2595,NA,1414810003567,"old",FALSE,FALSE,0,0,0,0,13,"0000","A2TL18J7K3G2A3","opt-total","07"
"206","B",1808,TRUE,1414810006915,"old",TRUE,TRUE,1,0,0,0,14,"1000","A2TL18J7K3G2A3","opt-total","07"
"207","A",1706,NA,1414810009477,"old",FALSE,FALSE,1,0,0,1,15,"1001","A2TL18J7K3G2A3","opt-total","07"
"208","A",2053,TRUE,1414810011936,"old",TRUE,TRUE,0,0,0,1,16,"0001","A2TL18J7K3G2A3","opt-total","07"
"209","A",3724,NA,1415296742996,"old",FALSE,FALSE,1,1,0,1,1,"1101","A2AG0341RLZ2L8","opt-total","07"
"210","B",1823,TRUE,1415296747479,"old",TRUE,TRUE,1,0,0,0,2,"1000","A2AG0341RLZ2L8","opt-total","07"
