"","subject","workerid","round","permutation","fillerDimension","leftLabel","ip","learn.success","num.learn.trials","condition"
"87",87,"A1LMQ2Z7V0O1L0","05","1.0.3.2","meaningful","A","82.242.183.143",0,144,"ms"
"88",88,"ANRTXL4V6246F","05","3.2.0.1","meaningful","A",NA,1,126,"ms"
"89",89,"A3ILGAWTCERWMD","05","0.1.2.3","meaningful","B","68.199.13.3",1,99,"ms"
"90",90,"A30LMQ29NCWQAV","05","1.3.2.0","meaningful","A","172.56.21.107",0,144,"ms"
"91",91,"A3V8LMWV8GMRFB","05","0.3.1.2","meaningful","A","76.23.245.145",1,90,"ms"
"92",92,"A3E0DYVGJDFM1I","05","0.2.3.1","meaningful","B","68.187.55.236",1,108,"ms"
"93",93,"APLLMG164KA1B","05","3.2.0.1","meaningful","A","162.129.250.14",0,144,"ms"
"94",94,"A1SZMSHOQPBTYD","05","3.1.0.2","meaningful","A","98.164.236.244",1,72,"ms"
"95",95,"A3JMWF2GPZULV6","05","3.2.0.1","meaningful","B","113.199.213.63",1,99,"ms"
"96",96,"A3SCJOINR7VN1H","05","1.2.3.0","meaningful","A","68.9.170.96",0,144,"ms"
"97",97,"A2JIWEG9A5KF2A","05","3.0.2.1","meaningful","B","72.5.190.173",1,108,"ms"
"98",98,"A2CIGX8GOEE58M","05","2.3.1.0","meaningful","A","98.219.31.149",1,45,"ms"
"99",99,"A1XS3VCPRM59O1","05","2.3.0.1","meaningful","A","71.7.63.141",1,108,"ms"
"100",100,"A161HFSPIVA4AJ","05","3.2.0.1","meaningful","B","148.129.71.156",0,144,"ms"
"101",101,"A3VOKXANTEHA2B","05","2.3.0.1","meaningful","A","108.255.13.184",1,99,"ms"
"102",102,"A12NQG1CV1HSJB","05","0.2.3.1","meaningful","B","74.171.132.122",0,144,"ms"
"103",103,"AT2SHQQ0LR7FN","05","1.0.3.2","meaningful","A","209.37.169.226",0,144,"ms"
"104",104,"ASLHGKHKRWKGE","05","1.2.0.3","meaningful","A","96.243.183.203",1,81,"ms"
"105",105,"A1779TGH2ZMWJ2","05","2.3.1.0","meaningful","B","24.240.3.10",1,108,"ms"
"106",106,"A3N1BPKRALD0EU","05","3.1.0.2","meaningful","B","50.155.110.108",0,144,"ms"
"107",107,"A2DE0LLGVMR4PS","05","0.2.3.1","meaningful","B",NA,1,90,"ms"
"108",108,"A286G0J1KL2HB2","05","0.2.1.3","meaningful","A","128.132.1.10",1,72,"ms"
"109",109,"A1ETR4GFU5N4JS","05","0.1.2.3","meaningful","A","72.91.252.53",1,81,"ms"
"110",110,"A1H5NN7PBN3979","05","0.3.1.2","meaningful","A","66.213.50.2",0,144,"ms"
"111",111,"A3FLSUA5PR9ESU","05","3.1.2.0","meaningful","B","74.143.207.237",1,144,"ms"
"112",112,"A2IPX1Q1BH0D22","05","2.0.3.1","meaningful","B","198.251.44.67",1,99,"ms"
"113",113,"A2Z5XEQNW13NUJ","05","2.1.3.0","meaningful","B","69.249.76.148",0,144,"ms"
"114",114,"A3O850HH4TT4Y2","05","2.1.0.3","meaningful","B","66.87.78.8",1,135,"ms"
"115",115,"A21G6BAIQ2GGFG","05","0.2.1.3","meaningful","B","107.208.212.143",1,54,"ms"
"116",116,"A1O402ZP60PD04","05","3.1.2.0","meaningful","B","166.181.83.176",1,63,"ms"
"117",117,"A1RFQVHBKVN4TA","05","2.0.3.1","meaningful","A",NA,1,126,"ms"
"118",118,"A1FHH3XEFEQYV7","05","2.1.0.3","meaningful","A","67.1.102.231",0,144,"ms"
"119",119,"A3J9ORWWVZCEOI","05","1.3.2.0","meaningful","A","108.239.30.39",1,99,"ms"
"120",120,"A2T3OG7CRWIA6E","05","2.1.0.3","meaningful","A","23.28.224.120",0,144,"ms"
